DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
4/14/2016 0:00,246739000,36.4746,16.57737,97,10.4,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 0:02,247293900,36.51907,17.13599,93.5,13.3,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,4/15/2016 20:00
4/14/2016 0:04,249988000,36.45148,17.58843,267,11.1,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,4/14/2016 7:00
4/14/2016 0:04,671504000,36.50538,16.55243,272,7.5,511,8104591,GULF RIVER,5VCW4,70,70,18,6,6,3.7,DJEN_DJEN,4/14/2016 12:00
4/14/2016 0:04,304014000,36.47176,17.08231,270,9.2,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,4/22/2016 20:00
4/14/2016 0:04,538003887,36.41045,16.51793,271.7,11.4,511,9189677,MAESTRO TIGER,V7TU8,70,145,26,14,13,6,ROTTERDAM,4/23/2016 8:00
4/14/2016 0:04,247318400,36.7473,16.43382,118.2,11.9,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,4/16/2016 12:00
4/14/2016 0:04,273381900,36.88772,16.40255,235.6,9.9,511,9752498,GABDULLA TUKAY,UBUN2,82,121,19,16,1,3.8,MALTA,4/14/2016 19:00
4/14/2016 0:04,538002689,36.51928,17.70037,266,10.7,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,4/17/2016 8:00
4/14/2016 0:04,372246000,36.83669,16.869,68.7,11.9,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,4/15/2016 4:00
4/14/2016 0:04,240047000,36.47119,16.73424,270,6.8,511,8518168,EUROPE,SY3511,32,10,26,5,5,5.3,GIBRALTAR,4/20/2016 6:00
4/14/2016 0:04,271000662,37.54376,17.1964,105,20.5,511,9242390,UND BIRLIK,TCCA6,71,125,68,7,19,5.8,ISTANBUL/TURKEY,4/15/2016 15:00
4/14/2016 0:04,538006248,36.94734,16.66831,253.9,9.7,511,9554145,UGUR DADAYLI,V7LA8,70,78,16,3,11,6.5,GABES,4/15/2016 17:00
4/14/2016 0:04,477699600,36.43307,17.13625,90.6,15.1,511,9630418,HANJIN GWANSEUM,VRNY4,74,244,93,31,17,13.2,PIRAEUS,4/15/2016 4:00
4/14/2016 0:05,371024000,37.38585,17.5585,281.4,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 0:14,235110453,37.61237,17.00747,285.8,15.5,511,9776535,M/Y IRIMARI,2IKE5,37,21,42,5,6,3.3,SAN REMO - ITALY,4/15/2016 17:00
4/14/2016 0:23,676061000,36.51338,17.3425,274.8,6.9,511,9008586,HELSE,9OLF,70,70,12,6,5,4.3,SOUSSE,4/15/2016 23:00
4/14/2016 1:00,371024000,37.42,17.387,283.3,9.3,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 1:00,247318400,36.66334,16.63654,116.7,11.9,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,4/16/2016 12:00
4/14/2016 1:01,538006248,36.90139,16.48816,251.7,9.8,511,9554145,UGUR DADAYLI,V7LA8,70,78,16,3,11,6.5,GABES,4/15/2016 17:00
4/14/2016 1:02,676061000,36.51503,17.25612,267.5,6.8,511,9008586,HELSE,9OLF,70,70,12,6,5,4.3,SOUSSE,4/15/2016 23:00
4/14/2016 1:02,247293900,36.5034,17.41395,95.6,13.2,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,4/15/2016 20:00
4/14/2016 1:02,249988000,36.44198,17.36136,266,11.4,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,4/14/2016 7:00
4/14/2016 1:03,235110453,37.66292,16.78375,286,15.3,511,9776535,M/Y IRIMARI,2IKE5,37,21,42,5,6,3.3,SAN REMO - ITALY,4/15/2016 17:00
4/14/2016 1:04,538002689,36.51296,17.47838,275.9,10.7,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,4/17/2016 8:00
4/14/2016 1:04,372246000,36.9075,17.10326,69.4,12,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,4/15/2016 4:00
4/14/2016 1:04,271000662,37.44978,17.61509,106,20.9,511,9242390,UND BIRLIK,TCCA6,71,125,68,7,19,5.8,ISTANBUL/TURKEY,4/15/2016 15:00
4/14/2016 1:04,477699600,36.4215,17.44832,90.3,15.1,511,9630418,HANJIN GWANSEUM,VRNY4,74,244,93,31,17,13.2,PIRAEUS,4/15/2016 4:00
4/14/2016 1:09,240047000,36.47367,16.59655,271.2,6.7,511,8518168,EUROPE,SY3511,32,10,26,5,5,5.3,GIBRALTAR,4/20/2016 6:00
4/14/2016 1:12,304014000,36.47317,16.87683,271,9.2,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,4/22/2016 20:00
4/14/2016 1:14,246739000,36.45613,16.8188,91,10.5,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 1:29,477216000,36.42665,16.52258,94,14,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,4/16/2016 7:00
4/14/2016 2:00,477699600,36.41785,17.72445,91.8,15.6,511,9630418,HANJIN GWANSEUM,VRNY4,74,244,93,31,17,13.2,PIRAEUS,4/15/2016 4:00
4/14/2016 2:00,373251000,36.44267,17.90437,267,12.3,511,9133757,TOPKAPI,3FBW7,70,94,32,11,9,7.7,ALGER,4/16/2016 16:00
4/14/2016 2:02,538002689,36.51356,17.27445,267.4,10.9,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,4/17/2016 8:00
4/14/2016 2:02,676061000,36.51556,17.114,268.6,6.7,511,9008586,HELSE,9OLF,70,70,12,6,5,4.3,SOUSSE,4/15/2016 23:00
4/14/2016 2:02,247293900,36.49636,17.69443,91.4,13.2,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,4/15/2016 20:00
4/14/2016 2:02,249988000,36.43061,17.15088,266.6,11.1,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,4/14/2016 7:00
4/14/2016 2:02,477216000,36.4192,16.66848,90,14.1,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,4/16/2016 7:00
4/14/2016 2:02,246739000,36.45713,16.99757,90.4,10.7,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 2:02,371024000,37.45997,17.18764,284,9.3,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 2:03,240047000,36.47599,16.47207,270,6.1,511,8518168,EUROPE,SY3511,32,10,26,5,5,5.3,GIBRALTAR,4/20/2016 6:00
4/14/2016 2:03,304014000,36.47633,16.72083,272,9.4,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,4/22/2016 20:00
4/14/2016 2:04,247318400,36.57127,16.863,117.8,11.9,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,4/16/2016 12:00
4/14/2016 2:08,563112000,37.52848,16.45152,219.6,14,511,9664938,KILBURN,9V5605,80,101,19,15,5,5.4,LAVERA FRANCE,4/16/2016 12:00
4/14/2016 2:09,372246000,36.98114,17.35236,69.7,13,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,4/15/2016 4:00
4/14/2016 3:00,477699600,36.41347,18.04581,89.6,15.2,511,9630418,HANJIN GWANSEUM,VRNY4,74,244,93,31,17,13.2,PIRAEUS,4/15/2016 4:00
4/14/2016 3:01,247318400,36.48089,17.06905,118.4,12.3,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,4/16/2016 12:00
